path,text
train-clean-360/100/121669/100-121669-0000.flac,TOM THE PIPER'S SON
train-clean-360/100/121669/100-121669-0001.flac,THE PIG WAS EAT AND TOM WAS BEAT AND TOM RAN CRYING DOWN THE STREET
train-clean-360/100/121669/100-121669-0006.flac,WHAT SHALL WE DO HE ASKED HIS FATHER GO HUNGRY REPLIED BARNEY UNLESS YOU WANT TO TAKE MY PIPES AND PLAY IN THE VILLAGE
train-clean-360/100/121669/100-121669-0007.flac,NO ANSWERED TOM SHAKING HIS HEAD NO ONE WILL GIVE ME A PENNY FOR PLAYING
train-clean-360/100/121669/100-121669-0008.flac,IF I WENT TO HIS HOUSE HE DID LAST WEEK YOU KNOW
train-clean-360/100/121669/100-121669-0009.flac,SO TOM TOOK HIS FATHER'S PIPES AND WALKED OVER THE HILL TO FARMER BOWSER'S HOUSE FOR YOU MUST KNOW THAT TOM TOM THE PIPER'S SON LEARNED TO PLAY WHEN HE WAS YOUNG
train-clean-360/100/121669/100-121669-0011.flac,AND BEGAN TO PLAY WITH ALL HIS MIGHT THE FARMER WAS IN HIS WOODSHED SAWING WOOD SO HE DID NOT HEAR THE PIPES AND THE FARMER'S WIFE WAS DEAF AND COULD NOT HEAR THEM
train-clean-360/100/121669/100-121669-0019.flac,BUT WHEN HE CAME TO THE STY THERE WAS NO PIG TO BE SEEN AND HE SEARCHED ALL ROUND THE PLACE FOR A GOOD HOUR WITHOUT FINDING IT
train-clean-360/100/121669/100-121669-0026.flac,A GOOD BEATING AND TOM WAS SO SCARED THAT HE NEVER STOPPED RUNNING UNTIL HE CAME TO THE END OF THE VILLAGE AND HE BAWLED LUSTILY THE WHOLE WAY AND CRIED OUT AT EVERY STEP
train-clean-360/100/121669/100-121669-0029.flac,THAN WHEN HE STOLE THE PIG TO GET A DINNER AND SUFFERED A SEVERE BEATING AS A PUNISHMENT
train-clean-360/100/121674/100-121674-0016.flac,AND EVERY YEAR THERE IS SOMETHING NEW AMONGST THEM ONCE I VISITED SANTA AND SAW HIM MAKE THE TOYS
train-clean-360/100/121674/100-121674-0021.flac,FOR IT WAS ONE OF THE LOVELIEST PLACES YOU COULD IMAGINE IT STOOD ON THE TOP OF A HIGH MOUNTAIN AND IS BUILT OF GOLD AND SILVER BRICKS AND THE WINDOWS ARE PURE DIAMOND CRYSTALS
train-clean-360/100/121674/100-121674-0026.flac,AND HE TALKED TO ME IN SUCH A JOLLY WAY THAT I SAT PERFECTLY STILL AND ALLOWED HIM TO MEASURE MY EARS AND MY LEGS SO THAT HE COULD CUT THE FUR INTO THE PROPER FORM
train-clean-360/100/121674/100-121674-0027.flac,AND SO HE SNIPPED A LITTLE OFF THE FUR HE WAS CUTTING
train-clean-360/100/121674/100-121674-0030.flac,AND AT FIRST I DID N'T KNOW WHETHER I WAS THE LIVE RABBIT OR THE TOY RABBIT WE WERE SO MUCH ALIKE
train-clean-360/100/122655/100-122655-0001.flac,AND AID THEM WHEN AND WHERE THEY WOULD ALLOW ME THERE WAS A REVIVING PLEASURE IN THIS INTERCOURSE OF A KIND NOW TASTED BY ME FOR THE FIRST TIME
train-clean-360/100/122655/100-122655-0022.flac,BUT THAT IT WAS PERTURBED AND EXCITING MIGHT BE SEEN IN THE FREQUENT FLASH AND CHANGEFUL DILATION OF HIS EYE I THINK MOREOVER THAT NATURE WAS NOT TO HIM
train-clean-360/100/122655/100-122655-0023.flac,HE EXPRESSED ONCE AND BUT ONCE IN MY HEARING A STRONG SENSE OF THE RUGGED CHARM OF THE HILLS AND AN INBORN AFFECTION FOR THE DARK ROOF AND HOARY WALLS HE CALLED HIS HOME
train-clean-360/100/122655/100-122655-0025.flac,INCOMMUNICATIVE AS HE WAS SOME TIME ELAPSED BEFORE I HAD AN OPPORTUNITY OF GAUGING HIS MIND
train-clean-360/100/122655/100-122655-0030.flac,HAD SPRUNG FROM A DEPTH WHERE LAY TURBID DREGS OF DISAPPOINTMENT WHERE MOVED TROUBLING IMPULSES OF INSATIATE YEARNINGS AND DISQUIETING ASPIRATIONS
train-clean-360/100/122655/100-122655-0032.flac,REGRETS TO WHICH I HAVE LATTERLY AVOIDED REFERRING BUT WHICH POSSESSED ME AND TYRANNISED OVER ME RUTHLESSLY MEANTIME A MONTH WAS GONE
train-clean-360/100/122655/100-122655-0033.flac,AS GOVERNESSES IN A LARGE FASHIONABLE SOUTH OF ENGLAND CITY WHERE EACH HELD A SITUATION IN FAMILIES
